cluster_name,fuel_price,query,mutation_method,mutation_prob,selection_method,selection_prob,pop_size,penalty_factor,our_ga_best_solution,our_ga_best_value,cluster_best_value,ga_cluster_solution,iters,cluster_time,memory used (mb),profe_ga_best_value,profe_ga_best_solution,profe_qbf_best_value,profe_qbf_best_solution,profe_gc_best_value,profe_gc_best_solution,profe_gn_best_value,profe_gn_best_solution,Error_Og_ga_Vs_our_ga,Error_Absoluto_Og_ga_Vs_our_ga,Error_Og_qbf_Vs_our_ga,Error_Absoluto_Og_qbf_Vs_our_ga,Error_Og_gc_Vs_our_ga,Error_Absoluto_Og_gc_Vs_our_ga,Error_Og_gn_Vs_our_ga,Error_Absoluto_Og_gn_Vs_our_ga
small-3s-4p-f1_10-q1_4-random,1,['Purificadores de aire'],swap,0.1,hard,0.66,10,9.0,"[['Supermercado Nacional', 'Purificadores de aire']]",4401.99,11282.96,"{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}}",100,1.1301319599151611,0.0,4401.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",4401.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",4401.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",4401.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small-3s-4p-f1_10-q1_4-random,1,"['Purificadores de aire', 'Aceite de girasol', 'Pasta de dientes', 'Alfombras']",swap,0.1,hard,0.66,10,9.0,"[['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire'], ['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes']]",11282.96,11282.96,"{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",100,1.0219473838806152,0.0,11283.96,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Jumbo', 'Aceite de girasol'], dtype=object)
 array(['Jumbo', 'Pasta de dientes'], dtype=object)
 array(['Supermercado Nacional', 'Alfombras'], dtype=object)]",11270.96,"[array(['Jumbo', 'Aceite de girasol'], dtype=object)
 array(['Jumbo', 'Pasta de dientes'], dtype=object)
 array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Supermercado Nacional', 'Alfombras'], dtype=object)]",11270.96,"[array(['Jumbo', 'Aceite de girasol'], dtype=object)
 array(['Jumbo', 'Pasta de dientes'], dtype=object)
 array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Supermercado Nacional', 'Alfombras'], dtype=object)]",12817.96,"[array(['Supermercado Nacional', 'Alfombras'], dtype=object)
 array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Supermercado Nacional', 'Pasta de dientes'], dtype=object)
 array(['Supermercado Nacional', 'Aceite de girasol'], dtype=object)]",1.0,1.0,-12.0,12.0,-12.0,12.0,1535.0,1535.0
small-3s-4p-f1_10-q1_4-random,6,['Purificadores de aire'],swap,0.1,hard,0.66,10,9.0,"[['Supermercado Nacional', 'Purificadores de aire']]",4501.99,11472.96,"{'Supermercado Nacional': {'Purificadores de aire': 4381.99, 'Alfombras': 1274.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",100,0.946138858795166,0.0,4501.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",4501.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",4501.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",4501.99,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small-3s-4p-f1_10-q1_4-random,6,"['Purificadores de aire', 'Pasta de dientes', 'Aceite de girasol', 'Alfombras']",swap,0.1,hard,0.66,10,9.0,"[['Jumbo', 'Pasta de dientes'], ['Jumbo', 'Aceite de girasol'], ['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire']]",11472.96,11400.96,"{'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",100,0.9122629165649414,0.0,11478.96,"[array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Jumbo', 'Pasta de dientes'], dtype=object)
 array(['Jumbo', 'Aceite de girasol'], dtype=object)
 array(['Supermercado Nacional', 'Alfombras'], dtype=object)]",11400.96,"[array(['Jumbo', 'Pasta de dientes'], dtype=object)
 array(['Jumbo', 'Aceite de girasol'], dtype=object)
 array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Supermercado Nacional', 'Alfombras'], dtype=object)]",11400.96,"[array(['Jumbo', 'Pasta de dientes'], dtype=object)
 array(['Jumbo', 'Aceite de girasol'], dtype=object)
 array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Supermercado Nacional', 'Alfombras'], dtype=object)]",12917.96,"[array(['Supermercado Nacional', 'Alfombras'], dtype=object)
 array(['Supermercado Nacional', 'Purificadores de aire'], dtype=object)
 array(['Supermercado Nacional', 'Pasta de dientes'], dtype=object)
 array(['Supermercado Nacional', 'Aceite de girasol'], dtype=object)]",6.0,6.0,-72.0,72.0,-72.0,72.0,1445.0,1445.0
small-5s-10p-f0_10-q1_10-random,0,['Televisores'],swap,0.1,hard,0.66,10,9.0,"[['Super Pola', 'Televisores']]",619.99,11702.9,"{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Refresco de cola': 1015.99, 'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",100,0.9981791973114014,0.0,619.99,"[array(['Super Pola', 'Televisores'], dtype=object)]",619.99,"[array(['Super Pola', 'Televisores'], dtype=object)]",619.99,"[array(['Super Pola', 'Televisores'], dtype=object)]",3638.99,"[array(['Bravo', 'Televisores'], dtype=object)]",0.0,0.0,0.0,0.0,0.0,0.0,3019.0,3019.0
small-5s-10p-f0_10-q1_10-random,0,"['Esmalte de uñas', 'Albahaca', 'Rizadores de pelo', 'Chicles de fresa']",swap,0.1,hard,0.66,10,9.0,"[['Super Pola', 'Esmalte de uñas'], ['Jumbo', 'Albahaca'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo']]",5455.96,11702.9,"{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",100,0.7573707103729248,0.0,5455.959999999999,"[array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Supermercado Nacional', 'Chicles de fresa'], dtype=object)]",5455.959999999999,"[array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Supermercado Nacional', 'Chicles de fresa'], dtype=object)
 array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)]",5455.959999999999,"[array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Supermercado Nacional', 'Chicles de fresa'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)]",15594.96,"[array(['Bravo', 'Albahaca'], dtype=object)
 array(['Bravo', 'Chicles de fresa'], dtype=object)
 array(['Bravo', 'Esmalte de uñas'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)]",-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,10139.0,10139.0
small-5s-10p-f0_10-q1_10-random,0,"['Televisores', 'Aftershave', 'Refresco de cola', 'Esmalte de uñas', 'Rizadores de pelo', 'Albahaca', 'Fósforos']",swap,0.1,hard,0.66,10,9.0,"[['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Jumbo', 'Refresco de cola'], ['Jumbo', 'Rizadores de pelo'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos']]",8730.93,12961.899999999998,"{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Jumbo': {'Refresco de cola': 1015.99, 'Rizadores de pelo': 4124.99, 'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",100,0.9985032081604004,0.0,7912.929999999999,"[array(['Supermercado Nacional', 'Televisores'], dtype=object)
 array(['Super Pola', 'Aftershave'], dtype=object)
 array(['Jumbo', 'Refresco de cola'], dtype=object)
 array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)]",7183.929999999998,"[array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Super Pola', 'Televisores'], dtype=object)
 array(['Super Pola', 'Aftershave'], dtype=object)
 array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)
 array(['Bravo', 'Refresco de cola'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)]",7183.929999999999,"[array(['Super Pola', 'Televisores'], dtype=object)
 array(['Super Pola', 'Aftershave'], dtype=object)
 array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Bravo', 'Refresco de cola'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)]",19061.93,"[array(['Bravo', 'Albahaca'], dtype=object)
 array(['Bravo', 'Televisores'], dtype=object)
 array(['Bravo', 'Aftershave'], dtype=object)
 array(['Bravo', 'Refresco de cola'], dtype=object)
 array(['Bravo', 'Esmalte de uñas'], dtype=object)
 array(['Bravo', 'Fósforos'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)]",-818.0000000000009,818.0000000000009,-1547.0000000000027,1547.0000000000027,-1547.000000000001,1547.000000000001,10331.0,10331.0
small-5s-10p-f0_10-q1_10-random,0,"['Ropa de hombre', 'Esmalte de uñas', 'Albahaca', 'Aftershave', 'Refresco de cola', 'Televisores', 'Jamón de pavo', 'Rizadores de pelo', 'Fósforos', 'Chicles de fresa']",swap,0.1,hard,0.66,10,9.0,"[['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Aftershave'], ['Super Pola', 'Esmalte de uñas'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Televisores'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo'], ['Bravo', 'Refresco de cola']]",11523.899999999998,11523.899999999998,"{'Super Pola': {'Ropa de hombre': 1943.99, 'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Televisores': 728.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",100,1.1046218872070312,0.0,11702.9,"[array(['La Sirena', 'Ropa de hombre'], dtype=object)
 array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['Super Pola', 'Aftershave'], dtype=object)
 array(['Jumbo', 'Refresco de cola'], dtype=object)
 array(['Super Pola', 'Televisores'], dtype=object)
 array(['Bravo', 'Jamón de pavo'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)
 array(['Supermercado Nacional', 'Chicles de fresa'], dtype=object)]",13200.9,"[array(['Bravo', 'Jamón de pavo'], dtype=object)
 array(['Supermercado Nacional', 'Televisores'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Supermercado Nacional', 'Chicles de fresa'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['La Sirena', 'Ropa de hombre'], dtype=object)
 array(['La Sirena', 'Aftershave'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)
 array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Super Pola', 'Refresco de cola'], dtype=object)]",11082.9,"[array(['Super Pola', 'Esmalte de uñas'], dtype=object)
 array(['Super Pola', 'Aftershave'], dtype=object)
 array(['Super Pola', 'Televisores'], dtype=object)
 array(['Bravo', 'Refresco de cola'], dtype=object)
 array(['Bravo', 'Jamón de pavo'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Supermercado Nacional', 'Chicles de fresa'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['La Sirena', 'Ropa de hombre'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)]",28819.89999999999,"[array(['Bravo', 'Jamón de pavo'], dtype=object)
 array(['Bravo', 'Albahaca'], dtype=object)
 array(['Bravo', 'Televisores'], dtype=object)
 array(['Bravo', 'Aftershave'], dtype=object)
 array(['Bravo', 'Ropa de hombre'], dtype=object)
 array(['Bravo', 'Refresco de cola'], dtype=object)
 array(['Bravo', 'Chicles de fresa'], dtype=object)
 array(['Bravo', 'Esmalte de uñas'], dtype=object)
 array(['Bravo', 'Fósforos'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)]",179.00000000000182,179.00000000000182,1677.0000000000018,1677.0000000000018,-440.9999999999982,440.9999999999982,17295.999999999993,17295.999999999993
small-5s-10p-f0_10-q1_10-random,3,['Esmalte de uñas'],swap,0.1,hard,0.66,10,9.0,"[['La Sirena', 'Esmalte de uñas']]",3369.99,14176.899999999998,"{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Televisores': 728.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Esmalte de uñas': 2883.99, 'Aftershave': 1702.99, 'Fósforos': 212.99}, 'Jumbo': {'Albahaca': 572.99}}",100,1.1093931198120115,0.0,1123.99,"[array(['Super Pola', 'Esmalte de uñas'], dtype=object)]",1123.99,"[array(['Super Pola', 'Esmalte de uñas'], dtype=object)]",1123.99,"[array(['Super Pola', 'Esmalte de uñas'], dtype=object)]",3567.99,"[array(['Bravo', 'Esmalte de uñas'], dtype=object)]",-2246.0,2246.0,-2246.0,2246.0,-2246.0,2246.0,198.0,198.0
small-5s-10p-f0_10-q1_10-random,3,"['Rizadores de pelo', 'Fósforos', 'Ropa de hombre', 'Albahaca']",swap,0.1,hard,0.66,10,9.0,"[['Jumbo', 'Albahaca'], ['Jumbo', 'Rizadores de pelo'], ['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Fósforos']]",7035.959999999999,12627.9,"{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99, 'Rizadores de pelo': 4124.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",100,1.181401252746582,0.0,5643.959999999999,"[array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)
 array(['La Sirena', 'Ropa de hombre'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)]",5643.959999999999,"[array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)
 array(['La Sirena', 'Ropa de hombre'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)]",5658.959999999999,"[array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)
 array(['Jumbo', 'Albahaca'], dtype=object)
 array(['La Sirena', 'Fósforos'], dtype=object)
 array(['La Sirena', 'Ropa de hombre'], dtype=object)]",12526.96,"[array(['Bravo', 'Albahaca'], dtype=object)
 array(['Bravo', 'Ropa de hombre'], dtype=object)
 array(['Bravo', 'Fósforos'], dtype=object)
 array(['Supermercado Nacional', 'Rizadores de pelo'], dtype=object)]",-1392.0,1392.0,-1392.0,1392.0,-1377.0,1377.0,5491.0,5491.0
