cluster_name,fuel_price,query,ga_cluster_solution,cluster_best_value,our_ga_best_solution,our_ga_best_value,pop_size,penalty_factor,cluster_time,memory used (mb),iters,mutation_method,mutation_prob,selection_method,selection_prob
small-3s-4p-f1_10-q1_4-random,1,['Purificadores de aire'],"{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",11282.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4401.99,10,9.0,1.0669715404510498,0.0,100,scramble,0.1,hard,0.66
small-3s-4p-f1_10-q1_4-random,1,"['Purificadores de aire', 'Aceite de girasol', 'Pasta de dientes', 'Alfombras']","{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",11282.96,"[['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire'], ['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes']]",11282.96,10,9.0,0.995948314666748,0.0,100,scramble,0.1,hard,0.66
small-3s-4p-f1_10-q1_4-random,6,['Purificadores de aire'],"{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}}",11472.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4501.99,10,9.0,0.9375815391540527,0.0,100,scramble,0.1,hard,0.66
small-3s-4p-f1_10-q1_4-random,6,"['Purificadores de aire', 'Pasta de dientes', 'Aceite de girasol', 'Alfombras']","{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",11472.96,"[['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire'], ['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes']]",11472.96,10,9.0,1.057675838470459,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,['Televisores'],"{'Super Pola': {'Ropa de hombre': 1943.99, 'Chicles de fresa': 2590.99, 'Televisores': 619.99, 'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Jamón de pavo': 3339.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Rizadores de pelo': 3197.99}, 'Bravo': {'Refresco de cola': 395.99}}",15058.899999999998,"[['Super Pola', 'Televisores']]",619.99,10,9.0,1.0388216972351074,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Esmalte de uñas', 'Albahaca', 'Rizadores de pelo', 'Chicles de fresa']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99, 'Rizadores de pelo': 4124.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",12341.899999999998,"[['Super Pola', 'Esmalte de uñas'], ['Jumbo', 'Albahaca'], ['Jumbo', 'Rizadores de pelo'], ['Supermercado Nacional', 'Chicles de fresa']]",6382.959999999999,10,9.0,1.004911184310913,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Televisores', 'Aftershave', 'Refresco de cola', 'Esmalte de uñas', 'Rizadores de pelo', 'Albahaca', 'Fósforos']","{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Refresco de cola': 1776.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",12463.9,"[['Super Pola', 'Aftershave'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Refresco de cola'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Rizadores de pelo']]",8564.93,10,9.0,1.0449268817901611,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Ropa de hombre', 'Esmalte de uñas', 'Albahaca', 'Aftershave', 'Refresco de cola', 'Televisores', 'Jamón de pavo', 'Rizadores de pelo', 'Fósforos', 'Chicles de fresa']","{'Super Pola': {'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",11702.9,"[['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Jumbo', 'Albahaca'], ['Jumbo', 'Refresco de cola'], ['La Sirena', 'Fósforos'], ['La Sirena', 'Ropa de hombre'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo']]",11702.9,10,9.0,1.086738109588623,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,3,['Esmalte de uñas'],"{'Super Pola': {'Aftershave': 1074.99, 'Chicles de fresa': 2590.99, 'Esmalte de uñas': 1108.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Rizadores de pelo': 3197.99, 'Televisores': 728.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",14444.899999999998,"[['Super Pola', 'Esmalte de uñas']]",1174.99,10,9.0,0.969205379486084,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Rizadores de pelo', 'Fósforos', 'Ropa de hombre', 'Albahaca']","{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",11700.899999999998,"[['Jumbo', 'Albahaca'], ['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Rizadores de pelo']]",6138.96,10,9.0,1.0957236289978027,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Esmalte de uñas', 'Televisores', 'Ropa de hombre', 'Chicles de fresa', 'Aftershave', 'Jamón de pavo', 'Rizadores de pelo']","{'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Esmalte de uñas': 2883.99, 'Fósforos': 212.99, 'Aftershave': 1702.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Televisores': 728.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Refresco de cola': 395.99, 'Jamón de pavo': 1710.99}}",14182.899999999998,"[['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Esmalte de uñas'], ['La Sirena', 'Aftershave'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Televisores'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo']]",12967.929999999998,10,9.0,1.0076844692230225,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Refresco de cola', 'Esmalte de uñas', 'Aftershave', 'Jamón de pavo', 'Televisores', 'Rizadores de pelo', 'Albahaca', 'Chicles de fresa', 'Ropa de hombre', 'Fósforos']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Refresco de cola': 1776.99}, 'La Sirena': {'Albahaca': 2032.99, 'Aftershave': 1702.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",15012.9,"[['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Refresco de cola'], ['La Sirena', 'Albahaca'], ['La Sirena', 'Aftershave'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo']]",15468.9,10,9.0,0.9938244819641113,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,6,['Chicles de fresa'],"{'Super Pola': {'Televisores': 619.99, 'Esmalte de uñas': 1108.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Aftershave': 1702.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",13566.9,"[['Supermercado Nacional', 'Chicles de fresa']]",1595.99,10,9.0,1.0542316436767578,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,6,"['Albahaca', 'Esmalte de uñas', 'Ropa de hombre', 'Televisores']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99, 'Rizadores de pelo': 4124.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",13577.899999999998,"[['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Jumbo', 'Albahaca']]",4365.96,10,9.0,0.953082799911499,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,6,"['Aftershave', 'Albahaca', 'Rizadores de pelo', 'Televisores', 'Jamón de pavo', 'Refresco de cola', 'Chicles de fresa']","{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Ropa de hombre': 2314.99, 'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Refresco de cola': 395.99, 'Jamón de pavo': 1710.99}}",13021.899999999998,"[['Super Pola', 'Aftershave'], ['Super Pola', 'Televisores'], ['Jumbo', 'Albahaca'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Refresco de cola'], ['Bravo', 'Jamón de pavo']]",8454.93,10,9.0,1.1869182586669922,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,6,"['Esmalte de uñas', 'Fósforos', 'Rizadores de pelo', 'Jamón de pavo', 'Refresco de cola', 'Ropa de hombre', 'Televisores', 'Chicles de fresa', 'Aftershave', 'Albahaca']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Chicles de fresa': 2590.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99, 'Refresco de cola': 1776.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",16046.899999999998,"[['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Chicles de fresa'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Super Pola', 'Refresco de cola'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo']]",16046.899999999998,10,9.0,1.1312446594238281,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,9,['Televisores'],"{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Chicles de fresa': 2590.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Supermercado Nacional': {'Rizadores de pelo': 3197.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Fósforos': 212.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",15885.899999999998,"[['Super Pola', 'Televisores']]",817.99,10,9.0,1.008260726928711,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,9,"['Jamón de pavo', 'Rizadores de pelo', 'Chicles de fresa', 'Aftershave']","{'Super Pola': {'Esmalte de uñas': 1108.99, 'Chicles de fresa': 2590.99, 'Televisores': 619.99, 'Aftershave': 1074.99, 'Ropa de hombre': 1943.99}, 'Jumbo': {'Rizadores de pelo': 4124.99, 'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Fósforos': 212.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",16722.899999999998,"[['Super Pola', 'Chicles de fresa'], ['Super Pola', 'Aftershave'], ['Jumbo', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo']]",9870.96,10,9.0,0.9509420394897461,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,9,"['Aftershave', 'Chicles de fresa', 'Ropa de hombre', 'Televisores', 'Refresco de cola', 'Fósforos', 'Jamón de pavo']","{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",12936.899999999998,"[['Super Pola', 'Aftershave'], ['Super Pola', 'Televisores'], ['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Chicles de fresa'], ['Bravo', 'Jamón de pavo'], ['Bravo', 'Refresco de cola']]",7957.929999999999,10,9.0,1.006653070449829,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,9,"['Fósforos', 'Esmalte de uñas', 'Ropa de hombre', 'Chicles de fresa', 'Refresco de cola', 'Televisores', 'Albahaca', 'Aftershave', 'Jamón de pavo', 'Rizadores de pelo']","{'Super Pola': {'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Aftershave': 1702.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Esmalte de uñas': 3552.99, 'Refresco de cola': 395.99}}",16008.9,"[['Super Pola', 'Televisores'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Aftershave'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo'], ['Bravo', 'Esmalte de uñas'], ['Bravo', 'Refresco de cola']]",16008.9,10,9.0,0.9886350631713867,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-same_price,0,['Whisky'],"{'Jumbo': {'Pulseras': 100.99, 'Whisky': 100.99, 'Antihistamínicos': 100.99, 'Salsa ranchera': 100.99, 'Aceitunas verdes': 100.99}, 'Super Pola': {'Suavizante de telas': 100.99, 'Toallas sanitarias': 100.99, 'Reproductores de DVD': 100.99, 'Consolas de videojuegos': 100.99}, 'Bravo': {'Pan integral': 100.99}}",1009.9,"[['Jumbo', 'Whisky']]",100.99,10,9.0,1.0145981311798096,0.0,100,scramble,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-same_price,0,"['Reproductores de DVD', 'Suavizante de telas', 'Pulseras', 'Salsa ranchera']","{'Supermercado Nacional': {'Consolas de videojuegos': 100.99, 'Whisky': 100.99, 'Pulseras': 100.99, 'Antihistamínicos': 100.99, 'Salsa ranchera': 100.99}, 'Bravo': {'Suavizante de telas': 100.99, 'Reproductores de DVD': 100.99, 'Toallas sanitarias': 100.99, 'Pan integral': 100.99, 'Aceitunas verdes': 100.99}}",1009.9,"[['Supermercado Nacional', 'Pulseras'], ['Supermercado Nacional', 'Salsa ranchera'], ['Bravo', 'Suavizante de telas'], ['Bravo', 'Reproductores de DVD']]",403.96,10,9.0,1.1328001022338867,0.0,100,scramble,0.1,hard,0.66
