cluster_name,fuel_price,query,ga_cluster_solution,cluster_best_value,our_ga_best_solution,our_ga_best_value,pop_size,penalty_factor,cluster_time,memory used (mb),iters,mutation_method,mutation_prob,selection_method,selection_prob
small-3s-4p-f1_10-q1_4-random,1,['Purificadores de aire'],"{'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",11270.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4401.99,10,9.0,0.8849203586578369,0.0,100,scramble,0.1,soft,0.66
small-3s-4p-f1_10-q1_4-random,1,"['Purificadores de aire', 'Aceite de girasol', 'Pasta de dientes', 'Alfombras']","{'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}, 'Supermercado Nacional': {'Purificadores de aire': 4381.99, 'Alfombras': 1274.99}}",11270.96,"[['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes'], ['Supermercado Nacional', 'Purificadores de aire'], ['Supermercado Nacional', 'Alfombras']]",11282.96,10,9.0,0.9042801856994629,0.0,100,scramble,0.1,soft,0.66
small-3s-4p-f1_10-q1_4-random,6,['Purificadores de aire'],"{'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",11400.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4501.99,10,9.0,0.9425292015075684,0.0,100,scramble,0.1,soft,0.66
small-3s-4p-f1_10-q1_4-random,6,"['Purificadores de aire', 'Pasta de dientes', 'Aceite de girasol', 'Alfombras']","{'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}, 'Supermercado Nacional': {'Purificadores de aire': 4381.99, 'Alfombras': 1274.99}}",11400.96,"[['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes'], ['Supermercado Nacional', 'Purificadores de aire'], ['Supermercado Nacional', 'Alfombras']]",11472.96,10,9.0,0.9730255603790283,0.0,100,scramble,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,['Televisores'],"{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Bravo': {'Refresco de cola': 395.99, 'Jamón de pavo': 1710.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}}",11414.899999999998,"[['Super Pola', 'Televisores']]",619.99,10,9.0,1.0338935852050781,0.0,100,scramble,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Esmalte de uñas', 'Albahaca', 'Rizadores de pelo', 'Chicles de fresa']","{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99, 'Televisores': 728.99}, 'Jumbo': {'Refresco de cola': 1015.99, 'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Super Pola': {'Esmalte de uñas': 1108.99, 'Aftershave': 1074.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",11811.899999999998,"[['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Jumbo', 'Albahaca'], ['Super Pola', 'Esmalte de uñas']]",5455.959999999999,10,9.0,0.995671272277832,0.0,100,scramble,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Televisores', 'Aftershave', 'Refresco de cola', 'Esmalte de uñas', 'Rizadores de pelo', 'Albahaca', 'Fósforos']","{'Super Pola': {'Refresco de cola': 1776.99, 'Esmalte de uñas': 1108.99, 'Aftershave': 1074.99, 'Televisores': 619.99}, 'Bravo': {'Jamón de pavo': 1710.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}}",12463.9,"[['Super Pola', 'Refresco de cola'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Aftershave'], ['Super Pola', 'Televisores'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Rizadores de pelo']]",8564.93,10,9.0,1.0111911296844482,0.0,100,scramble,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Ropa de hombre', 'Esmalte de uñas', 'Albahaca', 'Aftershave', 'Refresco de cola', 'Televisores', 'Jamón de pavo', 'Rizadores de pelo', 'Fósforos', 'Chicles de fresa']","{'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'Super Pola': {'Televisores': 619.99, 'Aftershave': 1074.99, 'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}}",11414.899999999998,"[['Bravo', 'Jamón de pavo'], ['Bravo', 'Refresco de cola'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Esmalte de uñas'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos']]",11414.899999999998,10,9.0,1.1054973602294922,0.0,100,scramble,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,3,['Esmalte de uñas'],"{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Televisores': 728.99, 'Rizadores de pelo': 3197.99}, 'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Bravo': {'Refresco de cola': 395.99, 'Jamón de pavo': 1710.99}, 'Super Pola': {'Esmalte de uñas': 1108.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99}}",11269.899999999998,"[['Super Pola', 'Esmalte de uñas']]",1174.99,10,9.0,1.1108801364898682,0.0,100,scramble,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Rizadores de pelo', 'Fósforos', 'Ropa de hombre', 'Albahaca']","{'Super Pola': {'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",11870.9,"[['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Jumbo', 'Albahaca']]",6138.959999999999,10,9.0,0.9785282611846924,0.0,100,scramble,0.1,soft,0.66
