cluster_name,fuel_price,query,ga_cluster_solution,cluster_best_value,our_ga_best_solution,our_ga_best_value,pop_size,penalty_factor,cluster_time,memory used (mb),iters,mutation_method,mutation_prob,selection_method,selection_prob
small-3s-4p-f1_10-q1_4-random,1,['Purificadores de aire'],"{'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}, 'Supermercado Nacional': {'Purificadores de aire': 4381.99, 'Alfombras': 1274.99}}",11270.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4401.99,10,9.0,1.042980670928955,0.0,100,swap,0.1,soft,0.66
small-3s-4p-f1_10-q1_4-random,1,"['Purificadores de aire', 'Aceite de girasol', 'Pasta de dientes', 'Alfombras']","{'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",11270.96,"[['Jumbo', 'Pasta de dientes'], ['Jumbo', 'Aceite de girasol'], ['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire']]",11282.96,10,9.0,0.9615828990936279,0.0,100,swap,0.1,soft,0.66
small-3s-4p-f1_10-q1_4-random,6,['Purificadores de aire'],"{'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",11400.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4501.99,10,9.0,0.9704256057739258,0.0,100,swap,0.1,soft,0.66
small-3s-4p-f1_10-q1_4-random,6,"['Purificadores de aire', 'Pasta de dientes', 'Aceite de girasol', 'Alfombras']","{'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",11400.96,"[['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes'], ['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire']]",11472.96,10,9.0,1.1590027809143066,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,['Televisores'],"{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Super Pola': {'Televisores': 619.99, 'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Ropa de hombre': 1943.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}}",11414.899999999998,"[['Super Pola', 'Televisores']]",619.99,10,9.0,1.171438217163086,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Esmalte de uñas', 'Albahaca', 'Rizadores de pelo', 'Chicles de fresa']","{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99, 'Televisores': 728.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99}}",11191.899999999998,"[['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Jumbo', 'Albahaca'], ['Super Pola', 'Esmalte de uñas']]",5455.959999999999,10,9.0,1.0209622383117676,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Televisores', 'Aftershave', 'Refresco de cola', 'Esmalte de uñas', 'Rizadores de pelo', 'Albahaca', 'Fósforos']","{'Supermercado Nacional': {'Rizadores de pelo': 3197.99, 'Chicles de fresa': 575.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'Bravo': {'Jamón de pavo': 1710.99}, 'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Super Pola': {'Televisores': 619.99, 'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99}}",11702.899999999998,"[['Supermercado Nacional', 'Rizadores de pelo'], ['Jumbo', 'Albahaca'], ['Jumbo', 'Refresco de cola'], ['La Sirena', 'Fósforos'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Super Pola', 'Esmalte de uñas']]",7803.9299999999985,10,9.0,0.9640486240386963,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Ropa de hombre', 'Esmalte de uñas', 'Albahaca', 'Aftershave', 'Refresco de cola', 'Televisores', 'Jamón de pavo', 'Rizadores de pelo', 'Fósforos', 'Chicles de fresa']","{'La Sirena': {'Fósforos': 212.99, 'Ropa de hombre': 1611.99}, 'Super Pola': {'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'Supermercado Nacional': {'Rizadores de pelo': 3197.99, 'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",11702.899999999998,"[['La Sirena', 'Fósforos'], ['La Sirena', 'Ropa de hombre'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Jumbo', 'Albahaca'], ['Jumbo', 'Refresco de cola'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Supermercado Nacional', 'Chicles de fresa'], ['Bravo', 'Jamón de pavo']]",11702.899999999998,10,9.0,1.0035500526428223,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,3,['Esmalte de uñas'],"{'Super Pola': {'Esmalte de uñas': 1108.99, 'Aftershave': 1074.99, 'Ropa de hombre': 1943.99}, 'La Sirena': {'Fósforos': 212.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'Supermercado Nacional': {'Televisores': 728.99, 'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Jumbo': {'Albahaca': 572.99}}",11667.9,"[['Super Pola', 'Esmalte de uñas']]",1174.99,10,9.0,1.0108723640441895,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Rizadores de pelo', 'Fósforos', 'Ropa de hombre', 'Albahaca']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'Supermercado Nacional': {'Televisores': 728.99, 'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'La Sirena': {'Fósforos': 212.99}}",11679.9,"[['Super Pola', 'Ropa de hombre'], ['Jumbo', 'Albahaca'], ['Supermercado Nacional', 'Rizadores de pelo'], ['La Sirena', 'Fósforos']]",6500.959999999999,10,9.0,1.0462799072265625,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Esmalte de uñas', 'Televisores', 'Ropa de hombre', 'Chicles de fresa', 'Aftershave', 'Jamón de pavo', 'Rizadores de pelo']","{'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Jumbo': {'Albahaca': 572.99}, 'Super Pola': {'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Aftershave': 1702.99, 'Fósforos': 212.99}}",11824.9,"[['Bravo', 'Jamón de pavo'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Aftershave']]",10639.929999999998,10,9.0,1.0794579982757568,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Refresco de cola', 'Esmalte de uñas', 'Aftershave', 'Jamón de pavo', 'Televisores', 'Rizadores de pelo', 'Albahaca', 'Chicles de fresa', 'Ropa de hombre', 'Fósforos']","{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'La Sirena': {'Fósforos': 212.99}, 'Bravo': {'Jamón de pavo': 1710.99}, 'Super Pola': {'Ropa de hombre': 1943.99, 'Televisores': 619.99, 'Esmalte de uñas': 1108.99, 'Aftershave': 1074.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}}",12112.899999999998,"[['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo'], ['La Sirena', 'Fósforos'], ['Bravo', 'Jamón de pavo'], ['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Televisores'], ['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Aftershave'], ['Jumbo', 'Albahaca'], ['Jumbo', 'Refresco de cola']]",12652.899999999998,10,9.0,1.1718568801879883,0.0,100,swap,0.1,soft,0.66
small-5s-10p-f0_10-q1_10-random,6,['Chicles de fresa'],"{'Supermercado Nacional': {'Rizadores de pelo': 3197.99, 'Televisores': 728.99, 'Chicles de fresa': 575.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Ropa de hombre': 1943.99}, 'La Sirena': {'Fósforos': 212.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",12419.899999999998,"[['Supermercado Nacional', 'Chicles de fresa']]",1595.99,10,9.0,0.9930055141448975,0.0,100,swap,0.1,soft,0.66
